área (m²),quartos,vagas de garagem,tipo de imóvel,custo (R$/m²),valor da região
48.0,2,1,Apartamento,42.02,Barata
38.0,1,1,Apartamento,70.66,Barata
50.0,2,1,Apartamento,33.0,Muito barata
43.0,1,1,Apartamento,113.14,Cara
39.0,2,1,Apartamento,38.0,Barata
56.0,1,0,Casa,30.71,Barata
41.0,1,1,Apartamento,88.73,Média
78.0,2,0,Apartamento,73.03,Cara
52.0,2,1,Apartamento,36.81,Barata
33.0,1,1,Studio e kitnet,102.91,Média
36.0,1,1,Apartamento,95.69,Média
48.0,2,1,Apartamento,51.54,Barata
46.0,2,1,Apartamento,44.43,Barata
30.0,1,0,Studio e kitnet,55.4,Média
52.0,2,1,Apartamento,55.17,Barata
30.0,1,0,Studio e kitnet,78.07,Média
40.0,1,0,Apartamento,76.62,Cara
61.0,2,1,Apartamento,60.59,Barata
50.0,1,1,Apartamento,67.4,Média
26.0,1,0,Studio e kitnet,107.15,Média
32.0,1,1,Studio e kitnet,112.72,Cara
32.0,1,0,Studio e kitnet,68.0,Média
32.0,1,1,Studio e kitnet,89.97,Cara
30.0,1,1,Studio e kitnet,63.2,Média
50.0,2,1,Apartamento,52.32,Média
73.0,2,1,Apartamento,99.05,Cara
68.0,3,1,Apartamento,48.6,Média
53.0,2,1,Apartamento,44.7,Barata
85.0,2,1,Casa,16.55,Muito barata
82.0,2,0,Casa,56.27,Cara
28.0,1,0,Studio e kitnet,99.75,Média
41.0,2,0,Apartamento,42.68,Média
56.0,2,1,Apartamento,50.75,Barata
50.0,2,0,Apartamento,85.78,Média
44.0,2,1,Apartamento,52.75,Média
75.0,3,2,Apartamento,48.64,Barata
45.0,2,1,Apartamento,104.96,Média
55.0,2,1,Apartamento,39.31,Média
91.0,2,1,Casa,30.92,Barata
35.0,1,1,Apartamento,66.63,Barata
60.0,2,1,Apartamento,31.25,Barata
65.0,3,1,Apartamento,43.91,Barata
27.0,1,0,Studio e kitnet,124.56,Média
65.0,2,1,Apartamento,69.68,Barata
65.0,3,1,Apartamento,38.37,Muito barata
40.0,2,1,Apartamento,82.7,Média
70.0,2,1,Apartamento,52.66,Barata
61.0,2,2,Apartamento,81.1,Cara
25.0,1,0,Studio e kitnet,69.68,Média
38.0,1,1,Apartamento,96.11,Média
45.0,2,1,Apartamento,35.47,Muito barata
22.0,1,0,Studio e kitnet,99.18,Barata
70.0,3,0,Casa,19.3,Barata
96.0,1,0,Casa,19.51,Muito barata
26.0,1,0,Studio e kitnet,98.69,Barata
60.0,2,0,Apartamento,33.8,Barata
61.0,1,0,Apartamento,28.39,Barata
75.0,2,1,Casa em condomínio,23.99,Muito barata
38.0,1,0,Apartamento,36.53,Barata
28.0,1,0,Studio e kitnet,53.32,Média
70.0,1,1,Casa,23.64,Muito barata
55.0,2,1,Apartamento,43.64,Barata
32.0,0,0,Studio e kitnet,47.88,Barata
38.0,1,0,Apartamento,44.79,Barata
50.0,2,2,Apartamento,64.62,Barata
80.0,2,0,Casa,29.19,Barata
22.0,1,0,Studio e kitnet,98.36,Média
30.0,1,0,Studio e kitnet,89.4,Barata
60.0,2,0,Casa,28.77,Barata
36.0,1,1,Apartamento,51.69,Barata
32.0,1,0,Studio e kitnet,64.59,Média
38.0,1,1,Apartamento,77.37,Média
38.0,1,0,Studio e kitnet,39.26,Barata
70.0,1,0,Casa,20.54,Muito barata
34.0,1,0,Studio e kitnet,53.15,Barata
60.0,1,0,Casa,23.45,Muito barata
40.0,1,0,Casa,33.28,Barata
41.0,2,0,Apartamento,61.76,Barata
29.0,1,1,Studio e kitnet,116.97,Média
42.0,1,0,Studio e kitnet,49.21,Cara
70.0,2,1,Casa,29.16,Muito barata
35.0,2,0,Apartamento,57.57,Barata
54.0,1,1,Casa,28.94,Muito barata
67.0,2,1,Apartamento,55.15,Barata
73.0,2,2,Apartamento,36.81,Barata
90.0,3,1,Casa,23.12,Muito barata
90.0,2,0,Casa,31.2,Barata
50.0,2,1,Apartamento,71.56,Barata
55.0,2,1,Apartamento,39.16,Barata
24.0,1,0,Studio e kitnet,65.0,Média
60.0,2,0,Casa,24.33,Barata
49.0,2,1,Apartamento,61.16,Barata
50.0,2,1,Apartamento,39.84,Barata
35.0,1,0,Apartamento,38.03,Barata
60.0,2,1,Casa em condomínio,46.42,Barata
55.0,1,0,Apartamento,38.42,Cara
30.0,1,0,Studio e kitnet,79.87,Média
55.0,2,0,Casa,37.91,Barata
80.0,2,1,Casa,26.06,Barata
68.0,3,1,Apartamento,45.09,Barata
65.0,2,1,Apartamento,31.66,Barata
50.0,2,1,Apartamento,43.54,Barata
58.0,2,1,Apartamento,40.72,Barata
58.0,2,1,Apartamento,85.9,Barata
63.0,3,1,Apartamento,29.63,Barata
38.0,1,1,Apartamento,111.21,Média
29.0,1,0,Studio e kitnet,76.14,Média
45.0,2,0,Apartamento,39.87,Barata
60.0,2,1,Apartamento,42.12,Barata
50.0,2,1,Apartamento,51.26,Barata
56.0,2,1,Apartamento,38.43,Barata
64.0,1,0,Casa,20.89,Barata
49.0,2,1,Apartamento,47.49,Média
70.0,2,1,Casa,20.2,Muito barata
32.0,1,0,Studio e kitnet,53.22,Barata
60.0,2,1,Apartamento,75.12,Barata
53.0,2,1,Apartamento,76.98,Barata
65.0,3,2,Apartamento,55.52,Média
44.0,0,0,Studio e kitnet,36.32,Média
80.0,2,0,Apartamento,20.5,Muito barata
52.0,2,1,Casa em condomínio,46.37,Barata
55.0,2,1,Apartamento,48.51,Barata
49.0,2,1,Apartamento,38.35,Barata
42.0,1,0,Studio e kitnet,39.93,Barata
65.0,3,1,Apartamento,46.95,Barata
54.0,2,1,Apartamento,43.48,Barata
70.0,1,0,Casa,18.03,Muito barata
57.0,2,0,Apartamento,47.32,Barata
70.0,3,1,Apartamento,56.94,Barata
40.0,1,1,Studio e kitnet,92.68,Média
48.0,2,1,Apartamento,53.27,Média
31.0,1,0,Studio e kitnet,80.03,Cara
53.0,2,0,Apartamento,57.21,Média
55.0,2,1,Apartamento,61.75,Barata
61.0,2,1,Apartamento,31.46,Barata
33.0,1,1,Studio e kitnet,122.42,Média
80.0,2,1,Casa,21.5,Barata
30.0,1,0,Studio e kitnet,47.4,Média
60.0,2,1,Apartamento,62.13,Média
30.0,1,0,Studio e kitnet,42.2,Média
16.0,1,0,Studio e kitnet,211.12,Média
38.0,2,0,Apartamento,65.68,Barata
53.0,2,1,Apartamento,74.77,Média
60.0,2,2,Apartamento,43.08,Barata
52.0,2,1,Apartamento,46.77,Média
64.0,3,2,Apartamento,38.31,Muito barata
66.0,2,2,Apartamento,80.14,Média
44.0,2,1,Apartamento,54.34,Média
26.0,1,0,Studio e kitnet,66.23,Barata
29.0,0,0,Studio e kitnet,50.07,Barata
55.0,2,1,Apartamento,36.71,Barata
30.0,1,1,Casa,54.13,Muito barata
55.0,1,0,Apartamento,37.53,Média
42.0,1,1,Apartamento,91.81,Média
65.0,2,1,Apartamento,33.58,Barata
57.0,2,1,Apartamento,45.05,Barata
40.0,2,0,Apartamento,67.6,Média
72.0,2,1,Apartamento,72.22,Cara
72.0,3,2,Apartamento,88.32,Média
74.0,3,2,Apartamento,66.39,Muito barata
38.0,1,1,Apartamento,69.79,Barata
26.0,1,0,Studio e kitnet,111.92,Barata
52.0,1,0,Apartamento,65.83,Cara
73.0,3,1,Apartamento,30.71,Muito barata
30.0,1,0,Studio e kitnet,80.97,Cara
29.0,1,0,Studio e kitnet,110.55,Média
55.0,2,1,Apartamento,65.62,Barata
22.0,1,0,Studio e kitnet,56.68,Média
32.0,1,1,Studio e kitnet,90.44,Média
45.0,2,1,Apartamento,69.91,Barata
42.0,2,1,Apartamento,46.74,Barata
47.0,2,1,Apartamento,47.36,Muito barata
64.0,2,1,Apartamento,71.16,Barata
45.0,2,0,Apartamento,56.53,Barata
34.0,1,0,Studio e kitnet,81.06,Média
32.0,1,0,Studio e kitnet,51.88,Média
35.0,1,0,Studio e kitnet,86.8,Média
45.0,1,1,Apartamento,118.16,Média
28.0,1,0,Studio e kitnet,37.07,Barata
49.0,2,0,Apartamento,39.55,Barata
75.0,3,2,Casa em condomínio,52.57,Barata
57.0,2,1,Apartamento,42.28,Barata
45.0,1,1,Apartamento,114.56,Cara
30.0,1,0,Studio e kitnet,96.83,Média
51.0,2,1,Apartamento,60.71,Barata
44.0,2,1,Apartamento,50.43,Barata
54.0,2,1,Apartamento,46.63,Barata
28.0,1,0,Studio e kitnet,45.18,Média
23.0,1,0,Studio e kitnet,57.26,Média
42.0,1,1,Apartamento,111.88,Cara
34.0,1,0,Studio e kitnet,71.76,Barata
50.0,2,1,Apartamento,74.9,Barata
43.0,1,0,Apartamento,81.95,Cara
48.0,1,1,Apartamento,53.65,Média
45.0,2,0,Apartamento,39.93,Barata
65.0,3,1,Apartamento,55.06,Média
62.0,2,1,Apartamento,65.79,Barata
75.0,2,0,Apartamento,46.48,Média
67.0,2,1,Apartamento,30.82,Muito barata
60.0,2,1,Apartamento,64.97,Barata
39.0,1,1,Apartamento,50.44,Barata
43.0,2,1,Apartamento,41.95,Barata
70.0,2,0,Apartamento,53.44,Média
43.0,2,0,Apartamento,46.51,Barata
70.0,3,1,Apartamento,67.37,Barata
48.0,1,1,Apartamento,68.52,Média
49.0,2,1,Apartamento,64.55,Média
76.0,3,0,Apartamento,36.46,Barata
40.0,2,1,Apartamento,46.35,Barata
73.0,3,1,Apartamento,37.86,Barata
50.0,2,1,Apartamento,72.66,Média
48.0,2,1,Apartamento,38.67,Muito barata
40.0,2,1,Apartamento,48.6,Barata
40.0,2,0,Apartamento,57.1,Barata
53.0,2,1,Apartamento,53.94,Barata
41.0,2,0,Apartamento,67.05,Barata
57.0,2,1,Apartamento,35.74,Barata
53.0,2,1,Apartamento,67.23,Barata
24.0,1,0,Studio e kitnet,77.62,Média
70.0,2,1,Apartamento,34.07,Muito barata
69.0,2,1,Apartamento,61.9,Média
63.0,2,1,Apartamento,38.33,Muito barata
70.0,2,1,Apartamento,46.41,Barata
37.0,1,0,Studio e kitnet,45.62,Média
42.0,2,1,Apartamento,52.95,Barata
50.0,2,0,Apartamento,59.28,Média
38.0,1,1,Apartamento,85.5,Cara
41.0,1,1,Studio e kitnet,93.44,Cara
65.0,2,1,Apartamento,46.57,Barata
52.0,3,1,Apartamento,54.46,Barata
30.0,1,1,Studio e kitnet,104.7,Cara
65.0,3,1,Apartamento,43.85,Barata
80.0,3,2,Apartamento,34.31,Barata
70.0,2,1,Apartamento,37.47,Barata
29.0,1,1,Studio e kitnet,90.72,Cara
39.0,1,0,Studio e kitnet,61.28,Barata
72.0,2,1,Apartamento,67.04,Barata
66.0,3,1,Apartamento,73.89,Média
55.0,2,1,Apartamento,69.15,Barata
25.0,1,0,Studio e kitnet,121.88,Média
55.0,2,2,Apartamento,51.11,Barata
52.0,2,1,Apartamento,53.1,Barata
55.0,2,1,Apartamento,77.65,Média
72.0,1,1,Apartamento,102.75,Cara
79.0,3,2,Apartamento,53.52,Barata
56.0,2,1,Apartamento,53.36,Barata
58.0,1,1,Apartamento,93.14,Cara
45.0,2,0,Apartamento,74.44,Média
59.0,2,1,Apartamento,40.68,Muito barata
42.0,2,1,Apartamento,55.02,Barata
57.0,2,2,Apartamento,46.46,Muito barata
67.0,2,1,Apartamento,58.69,Barata
45.0,2,0,Apartamento,49.93,Média
70.0,2,2,Apartamento,90.77,Média
38.0,1,0,Apartamento,82.92,Média
35.0,1,0,Apartamento,77.69,Barata
51.0,2,1,Apartamento,51.33,Muito barata
70.0,3,1,Apartamento,39.0,Barata
25.0,1,0,Studio e kitnet,103.92,Barata
45.0,2,1,Apartamento,47.49,Média
25.0,1,0,Studio e kitnet,135.72,Cara
28.0,1,0,Studio e kitnet,97.36,Média
35.0,1,1,Apartamento,101.11,Média
62.0,3,1,Apartamento,45.16,Média
41.0,2,0,Apartamento,53.88,Barata
30.0,1,0,Studio e kitnet,99.23,Barata
50.0,2,2,Apartamento,68.7,Barata
48.0,1,1,Apartamento,58.96,Cara
54.0,2,0,Apartamento,26.7,Muito barata
58.0,2,1,Apartamento,51.47,Barata
80.0,2,1,Apartamento,64.49,Cara
16.0,1,0,Studio e kitnet,136.31,Muito cara
52.0,2,1,Apartamento,115.5,Cara
70.0,2,1,Apartamento,50.5,Barata
53.0,2,1,Apartamento,42.87,Muito barata
68.0,3,1,Apartamento,34.01,Muito barata
44.0,2,1,Apartamento,99.66,Cara
69.0,3,2,Apartamento,56.51,Média
39.0,2,1,Apartamento,59.46,Barata
58.0,1,0,Apartamento,114.22,Cara
38.0,2,0,Casa,57.5,Barata
23.0,1,0,Studio e kitnet,74.48,Média
33.0,1,1,Studio e kitnet,117.21,Média
54.0,2,1,Apartamento,42.02,Barata
70.0,3,1,Apartamento,86.91,Cara
30.0,1,1,Studio e kitnet,96.13,Média
39.0,1,1,Apartamento,143.15,Média
78.0,2,1,Apartamento,45.06,Média
53.0,3,1,Casa,67.66,Barata
67.0,2,1,Apartamento,54.3,Média
45.0,2,1,Apartamento,109.89,Média
32.0,1,1,Studio e kitnet,125.31,Cara
56.0,2,1,Apartamento,29.16,Muito barata
35.0,1,1,Studio e kitnet,45.43,Barata
40.0,1,1,Apartamento,122.2,Cara
35.0,1,1,Apartamento,74.69,Média
77.0,3,2,Apartamento,69.38,Cara
49.0,2,1,Apartamento,47.96,Barata
48.0,2,0,Apartamento,31.96,Barata
59.0,2,1,Apartamento,39.66,Barata
48.0,2,1,Apartamento,33.17,Muito barata
60.0,2,0,Apartamento,61.68,Cara
48.0,1,1,Apartamento,123.48,Média
35.0,1,0,Apartamento,38.03,Barata
38.0,1,1,Apartamento,112.5,Média
34.0,1,0,Studio e kitnet,45.5,Barata
75.0,3,2,Apartamento,48.71,Barata
26.0,1,0,Studio e kitnet,104.23,Média
35.0,1,0,Apartamento,64.74,Barata
35.0,1,0,Apartamento,61.4,Barata
59.0,2,1,Apartamento,25.83,Média
62.0,2,0,Apartamento,60.19,Média
55.0,1,1,Apartamento,56.51,Média
54.0,2,1,Apartamento,62.48,Média
85.0,2,0,Casa,21.35,Barata
35.0,1,0,Apartamento,75.4,Barata
54.0,2,1,Apartamento,47.31,Barata
53.0,1,1,Apartamento,101.96,Média
40.0,1,0,Casa,31.6,Barata
60.0,2,1,Apartamento,34.4,Muito barata
32.0,1,0,Studio e kitnet,49.75,Média
45.0,2,1,Apartamento,39.96,Barata
41.0,1,0,Apartamento,47.05,Média
30.0,1,0,Studio e kitnet,61.0,Barata
63.0,2,1,Apartamento,49.46,Barata
41.0,2,0,Apartamento,37.76,Barata
54.0,2,1,Apartamento,48.5,Barata
36.0,1,1,Apartamento,172.72,Cara
44.0,2,0,Apartamento,50.07,Barata
35.0,1,1,Studio e kitnet,90.03,Média
22.0,1,0,Studio e kitnet,155.36,Cara
55.0,2,1,Apartamento,100.44,Cara
47.0,2,0,Apartamento,41.28,Barata
55.0,2,2,Apartamento,73.09,Média
66.0,2,1,Apartamento,75.71,Média
60.0,2,1,Apartamento,58.47,Barata
50.0,2,1,Apartamento,47.64,Média
35.0,1,0,Studio e kitnet,54.94,Barata
15.0,1,0,Studio e kitnet,82.13,Cara
66.0,3,1,Apartamento,46.14,Barata
53.0,2,1,Apartamento,76.08,Barata
60.0,2,1,Apartamento,76.23,Cara
54.0,2,1,Apartamento,33.52,Barata
48.0,2,2,Apartamento,42.17,Barata
