area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
86,2,2,69.01,1,0,0,0,1
51,1,1,101.75,1,0,0,0,1
30,1,1,125.03,0,0,0,1,1
47,1,1,75.02,1,0,0,0,1
54,1,2,116.96,1,0,0,0,3
35,1,1,104.6,1,0,0,0,1
33,1,0,124.73,0,0,0,1,2
60,2,1,108.4,1,0,0,0,1
82,3,1,49.27,1,0,0,0,1
58,2,1,77.22,1,0,0,0,1
78,1,1,66.44,1,0,0,0,1
32,1,0,92.56,0,0,0,1,2
58,2,1,59.93,1,0,0,0,0
65,2,0,43.55,1,0,0,0,1
58,3,1,78.21,1,0,0,0,0
68,3,1,98.29,1,0,0,0,1
83,3,2,63.16,1,0,0,0,1
68,3,1,61.5,1,0,0,0,1
64,2,2,70.0,1,0,0,0,1
33,2,0,63.48,1,0,0,0,1
73,3,1,56.07,1,0,0,0,0
35,1,1,132.49,0,0,0,1,2
50,2,1,53.7,1,0,0,0,1
50,2,1,46.42,1,0,0,0,0
48,2,0,32.12,1,0,0,0,0
30,2,2,90.83,0,1,0,0,1
53,2,1,56.0,1,0,0,0,1
63,3,1,43.37,1,0,0,0,1
33,1,1,101.21,0,0,0,1,3
50,1,1,125.16,1,0,0,0,2
32,1,0,58.47,1,0,0,0,1
36,1,1,89.78,1,0,0,0,1
47,2,1,46.53,1,0,0,0,0
54,2,1,91.74,1,0,0,0,1
34,1,1,155.53,0,0,0,1,3
42,1,1,96.57,1,0,0,0,1
30,1,1,137.73,1,0,0,0,1
33,1,1,141.15,0,0,0,1,2
90,2,2,31.44,0,1,0,0,0
43,1,1,111.02,0,0,0,1,1
80,3,2,48.25,1,0,0,0,0
67,3,1,35.28,1,0,0,0,0
50,2,1,68.2,1,0,0,0,1
35,1,0,36.03,1,0,0,0,0
32,1,0,51.62,0,0,0,1,0
49,1,1,47.0,1,0,0,0,0
39,1,0,75.64,1,0,0,0,1
80,2,1,23.02,0,1,0,0,0
71,2,2,63.89,1,0,0,0,1
120,2,1,16.03,0,1,0,0,0
40,1,1,29.42,0,1,0,0,0
72,2,1,52.79,1,0,0,0,1
75,2,1,27.68,0,1,0,0,0
62,3,1,37.4,1,0,0,0,0
65,3,1,40.32,1,0,0,0,0
50,2,1,58.3,1,0,0,0,0
44,2,1,39.16,1,0,0,0,0
64,2,1,38.16,1,0,0,0,1
83,2,1,49.77,1,0,0,0,2
110,3,0,58.91,1,0,0,0,1
60,3,1,38.18,1,0,0,0,0
34,1,0,63.06,1,0,0,0,1
69,2,2,39.58,0,1,0,0,0
43,2,1,55.51,1,0,0,0,1
70,2,1,41.24,0,1,0,0,0
45,1,0,30.47,0,1,0,0,0
47,2,0,72.21,1,0,0,0,1
35,2,0,72.0,1,0,0,0,1
38,1,1,144.34,1,0,0,0,2
33,1,1,76.85,1,0,0,0,1
